rid,did
1,34
1,43
1,150
1,204
1,221
1,264
1,437
1,449
1,454
1,647
1,660
1,731
1,821
1,858
1,910
1,941
1,961
1,1010
1,1100
1,1121
1,1124
1,1132
1,1205
1,1261
1,1336
1,1337
1,1372
1,1390
1,1507
1,1591
1,1626
1,1647
1,1839
1,1868
1,1958
1,1988
1,1995
1,2025
1,2182
1,2236
1,2252
1,2271
1,2283
1,2341
1,2413
1,2547
1,2570
1,2586
1,2702
1,2705
1,2799
1,2807
1,2935
1,3008
1,3161
1,3458
1,3463
1,3497
1,3533
1,3559
1,3563
1,3608
1,3710
1,3896
1,3903
1,3914
1,3921
1,4022
1,4047
1,4074
1,4132
1,4150
1,4180
2,111
2,324
2,343
2,351
2,422
2,1092
2,1408
2,2480
2,2802
2,3104
2,3121
2,3777
2,3939
2,4093
2,4162
4,311
5,3982
8,766
8,1381
8,1454
8,1635
8,2466
8,2829
8,3138
8,3578
9,223
9,527
9,657
9,3809
10,23
10,77
10,542
10,671
10,1477
10,1694
10,1821
10,1916
10,1973
10,2713
10,2757
10,2787
10,2821
10,3305
10,3593
10,3789
10,3992
11,1305
